home_team,away_team,home_score,away_score
West Ham,Fulham,1,0
Vörös Ördögök,Crystal Palace,1,3
Aston Oroszlán,Chelsea,0,1
Everton,Manchester Kék,1,1
Nottingham,Tottenham,2,2
London Ágyúk,Brentford,2,0
Brighton,Wolverhampton,3,1
Liverpool,Aston Oroszlán,4,0
Manchester Kék,Brighton,2,0
Crystal Palace,London Ágyúk,0,2
Brentford,Newcastle,1,1
Wolverhampton,Nottingham,2,2
Chelsea,Everton,0,0
Tottenham,West Ham,5,0
Fulham,Vörös Ördögök,3,3
Newcastle,Crystal Palace,0,1
Brighton,Chelsea,1,4
Brentford,Liverpool,2,0
London Ágyúk,Fulham,2,1
West Ham,Wolverhampton,1,1
Everton,Aston Oroszlán,3,0
Vörös Ördögök,Tottenham,1,0
Nottingham,Manchester Kék,1,0
Aston Oroszlán,Brighton,1,4
Chelsea,Nottingham,3,0
Liverpool,Everton,1,1
Manchester Kék,West Ham,3,0
Fulham,Newcastle,3,2
Wolverhampton,Vörös Ördögök,2,2
Crystal Palace,Brentford,2,0
Tottenham,London Ágyúk,1,0
London Ágyúk,Wolverhampton,0,1
Brentford,Fulham,2,1
Newcastle,Tottenham,2,3
Brighton,Everton,0,4
Vörös Ördögök,Manchester Kék,2,0
Crystal Palace,Liverpool,0,0
Nottingham,Aston Oroszlán,1,1
West Ham,Chelsea,0,0
Manchester Kék,London Ágyúk,1,2
Liverpool,Brighton,1,0
Everton,Nottingham,3,1
Fulham,Crystal Palace,2,0
Aston Oroszlán,West Ham,1,1
Tottenham,Brentford,3,2
Chelsea,Vörös Ördögök,2,2
Wolverhampton,Newcastle,2,3
West Ham,Everton,1,1
Fulham,Liverpool,0,2
London Ágyúk,Chelsea,0,1
Brentford,Wolverhampton,1,3
Nottingham,Brighton,1,1
Crystal Palace,Tottenham,0,2
Newcastle,Manchester Kék,0,5
Vörös Ördögök,Aston Oroszlán,2,3
Wolverhampton,Crystal Palace,1,1
Aston Oroszlán,London Ágyúk,2,2
Chelsea,Newcastle,2,0
Everton,Vörös Ördögök,2,0
Tottenham,Fulham,5,1
Liverpool,Nottingham,5,2
Brighton,West Ham,0,3
Manchester Kék,Brentford,2,1
Wolverhampton,Fulham,1,2
Brighton,Vörös Ördögök,1,1
Manchester Kék,Crystal Palace,2,0
Aston Oroszlán,Newcastle,2,3
Everton,London Ágyúk,2,3
Nottingham,West Ham,1,3
Tottenham,Liverpool,1,1
Chelsea,Brentford,1,0
Brentford,Aston Oroszlán,1,1
Fulham,Manchester Kék,1,1
London Ágyúk,Brighton,2,0
Liverpool,West Ham,1,0
Tottenham,Wolverhampton,2,0
Crystal Palace,Chelsea,1,2
Vörös Ördögök,Nottingham,2,1
Newcastle,Everton,1,1
Nottingham,London Ágyúk,0,1
Chelsea,Fulham,4,2
Everton,Brentford,0,2
Wolverhampton,Liverpool,4,2
West Ham,Vörös Ördögök,1,1
Aston Oroszlán,Crystal Palace,0,1
Manchester Kék,Tottenham,1,1
Brighton,Newcastle,2,1
London Ágyúk,West Ham,0,0
Wolverhampton,Manchester Kék,0,2
Tottenham,Chelsea,0,4
Brentford,Brighton,1,0
Newcastle,Nottingham,3,1
Crystal Palace,Everton,1,0
Liverpool,Vörös Ördögök,0,1
Fulham,Aston Oroszlán,0,1
Nottingham,Brentford,1,2
Brighton,Crystal Palace,1,2
West Ham,Newcastle,2,1
Manchester Kék,Liverpool,1,2
Aston Oroszlán,Tottenham,0,2
Chelsea,Wolverhampton,0,1
Vörös Ördögök,London Ágyúk,2,0
Everton,Fulham,1,2
Newcastle,Vörös Ördögök,0,1
Brentford,West Ham,1,0
Manchester Kék,Chelsea,2,2
Tottenham,Everton,1,1
Fulham,Brighton,0,2
Liverpool,London Ágyúk,3,1
Wolverhampton,Aston Oroszlán,2,2
Crystal Palace,Nottingham,0,2
Everton,Wolverhampton,4,2
Nottingham,Fulham,0,0
Aston Oroszlán,Manchester Kék,0,3
Chelsea,Liverpool,0,2
London Ágyúk,Newcastle,2,0
Brighton,Tottenham,1,3
Vörös Ördögök,Brentford,1,0
West Ham,Crystal Palace,2,1
Liverpool,Newcastle,3,0
Fulham,West Ham,1,3
Crystal Palace,Vörös Ördögök,0,1
Chelsea,Aston Oroszlán,4,0
Manchester Kék,Everton,0,1
Tottenham,Nottingham,1,2
Brentford,London Ágyúk,1,2
Wolverhampton,Brighton,1,1
Aston Oroszlán,Liverpool,1,1
Brighton,Manchester Kék,1,2
London Ágyúk,Crystal Palace,1,1
Newcastle,Brentford,1,1
Nottingham,Wolverhampton,1,2
Everton,Chelsea,1,2
West Ham,Tottenham,1,3
Vörös Ördögök,Fulham,1,1
Crystal Palace,Newcastle,1,1
Chelsea,Brighton,3,0
Liverpool,Brentford,0,1
Fulham,London Ágyúk,1,1
Wolverhampton,West Ham,3,0
Aston Oroszlán,Everton,1,2
Tottenham,Vörös Ördögök,2,3
Manchester Kék,Nottingham,3,1
Brighton,Aston Oroszlán,0,0
Nottingham,Chelsea,1,3
Everton,Liverpool,3,1
West Ham,Manchester Kék,1,2
Newcastle,Fulham,1,0
Vörös Ördögök,Wolverhampton,4,0
Brentford,Crystal Palace,2,1
London Ágyúk,Tottenham,1,1
Wolverhampton,London Ágyúk,0,2
Fulham,Brentford,3,1
Tottenham,Newcastle,1,1
Everton,Brighton,0,0
Manchester Kék,Vörös Ördögök,3,1
Liverpool,Crystal Palace,3,1
Aston Oroszlán,Nottingham,0,1
Chelsea,West Ham,3,1
London Ágyúk,Manchester Kék,1,0
Brighton,Liverpool,0,2
Nottingham,Everton,1,4
Crystal Palace,Fulham,1,0
West Ham,Aston Oroszlán,0,2
Brentford,Tottenham,1,0
Vörös Ördögök,Chelsea,2,1
Newcastle,Wolverhampton,3,2
Everton,West Ham,0,1
Liverpool,Fulham,1,0
Chelsea,London Ágyúk,1,1
Wolverhampton,Brentford,2,0
Brighton,Nottingham,2,2
Tottenham,Crystal Palace,2,2
Manchester Kék,Newcastle,2,2
Aston Oroszlán,Vörös Ördögök,1,2
Crystal Palace,Wolverhampton,0,0
London Ágyúk,Aston Oroszlán,2,0
Newcastle,Chelsea,0,2
Vörös Ördögök,Everton,2,1
Fulham,Tottenham,2,2
Nottingham,Liverpool,1,3
West Ham,Brighton,0,1
Brentford,Manchester Kék,2,0
Liverpool,Wolverhampton,4,0
Newcastle,Nottingham,1,0
Tottenham,Aston Oroszlán,4,0
Manchester Kék,Fulham,4,0
Brighton,Everton,0,1
Chelsea,Crystal Palace,1,0
Vörös Ördögök,West Ham,5,1
Brentford,London Ágyúk,0,2
Fulham,Brentford,1,1
Aston Oroszlán,Liverpool,1,2
Nottingham,Brighton,0,0
Chelsea,Vörös Ördögök,2,1
Wolverhampton,West Ham,2,2
London Ágyúk,Tottenham,2,0
Crystal Palace,Newcastle,0,0
Everton,Manchester Kék,2,3
Brighton,Crystal Palace,1,0
Liverpool,London Ágyúk,2,1
Brentford,Everton,2,1
Vörös Ördögök,Wolverhampton,3,0
Newcastle,Chelsea,0,3
Tottenham,Fulham,1,3
West Ham,Aston Oroszlán,0,1
Manchester Kék,Nottingham,2,1
Chelsea,Brighton,1,1
Aston Oroszlán,Wolverhampton,2,3
London Ágyúk,West Ham,2,3
Nottingham,Brentford,0,1
Crystal Palace,Manchester Kék,1,0
Everton,Tottenham,2,2
Newcastle,Vörös Ördögök,0,1
Fulham,Liverpool,1,1
Brentford,Crystal Palace,1,0
Tottenham,Nottingham,1,0
Manchester Kék,Chelsea,1,1
Vörös Ördögök,Aston Oroszlán,1,0
West Ham,Fulham,2,1
Wolverhampton,London Ágyúk,1,0
Brighton,Newcastle,1,1
Liverpool,Everton,1,1
Newcastle,Manchester Kék,1,3
Chelsea,Brentford,2,0
London Ágyúk,Aston Oroszlán,1,0
Everton,West Ham,1,0
Nottingham,Liverpool,3,3
Brighton,Vörös Ördögök,2,4
Fulham,Wolverhampton,0,0
Crystal Palace,Tottenham,1,2
Wolverhampton,Everton,1,0
Liverpool,Crystal Palace,2,0
Aston Oroszlán,Fulham,0,1
Vörös Ördögök,London Ágyúk,4,1
Manchester Kék,Brighton,3,1
West Ham,Nottingham,2,1
Brentford,Newcastle,1,0
Tottenham,Chelsea,1,1
Manchester Kék,Vörös Ördögök,2,0
Chelsea,Liverpool,1,1
Newcastle,Tottenham,0,2
Fulham,London Ágyúk,1,0
Everton,Aston Oroszlán,1,0
Crystal Palace,West Ham,3,0
Brighton,Brentford,0,2
Nottingham,Wolverhampton,3,2
Vörös Ördögök,Fulham,1,1
Aston Oroszlán,Nottingham,2,0
Tottenham,Brighton,4,1
Brentford,Manchester Kék,0,1
Wolverhampton,Crystal Palace,2,0
London Ágyúk,Everton,2,3
West Ham,Chelsea,0,2
Liverpool,Newcastle,1,3
Manchester Kék,Tottenham,1,0
Nottingham,London Ágyúk,0,3
Brentford,Vörös Ördögök,1,1
Brighton,Liverpool,1,2
Chelsea,Wolverhampton,3,2
Everton,Fulham,0,0
Newcastle,West Ham,3,1
Crystal Palace,Aston Oroszlán,1,0
Fulham,Nottingham,0,0
London Ágyúk,Crystal Palace,3,0
Vörös Ördögök,Everton,2,1
Aston Oroszlán,Chelsea,1,2
Liverpool,Manchester Kék,3,2
Wolverhampton,Newcastle,3,2
Tottenham,Brentford,2,0
West Ham,Brighton,4,1
Brighton,Wolverhampton,3,0
Brentford,Liverpool,0,0
Manchester Kék,West Ham,0,0
Nottingham,Everton,0,2
Newcastle,Aston Oroszlán,1,1
Tottenham,Vörös Ördögök,1,2
Crystal Palace,Fulham,1,0
Chelsea,London Ágyúk,3,2
Aston Oroszlán,Brighton,1,1
Vörös Ördögök,Nottingham,2,3
Everton,Crystal Palace,3,0
Liverpool,Tottenham,2,1
Fulham,Chelsea,2,3
West Ham,Brentford,1,2
London Ágyúk,Newcastle,2,3
Wolverhampton,Manchester Kék,1,3
Chelsea,Everton,4,1
Liverpool,Vörös Ördögök,3,0
Brighton,London Ágyúk,1,1
Brentford,Wolverhampton,0,1
Crystal Palace,Nottingham,0,2
Tottenham,West Ham,1,0
Manchester Kék,Aston Oroszlán,1,0
Newcastle,Fulham,3,0
Wolverhampton,Tottenham,2,3
Fulham,Brighton,1,1
London Ágyúk,Manchester Kék,1,1
Everton,Newcastle,1,2
West Ham,Liverpool,1,4
Vörös Ördögök,Crystal Palace,1,1
Nottingham,Chelsea,1,3
Aston Oroszlán,Brentford,2,2
Wolverhampton,Liverpool,0,3
Nottingham,Newcastle,1,3
Aston Oroszlán,Tottenham,0,2
Fulham,Manchester Kék,1,2
Everton,Brighton,2,0
Crystal Palace,Chelsea,0,1
West Ham,Vörös Ördögök,1,1
London Ágyúk,Brentford,1,1
Brentford,Fulham,3,3
Liverpool,Aston Oroszlán,4,2
Brighton,Nottingham,1,1
Vörös Ördögök,Chelsea,0,1
West Ham,Wolverhampton,1,1
Tottenham,London Ágyúk,0,1
Newcastle,Crystal Palace,2,0
Manchester Kék,Everton,2,0
Crystal Palace,Brighton,1,0
London Ágyúk,Liverpool,4,1
Everton,Brentford,1,0
Wolverhampton,Vörös Ördögök,1,2
Chelsea,Newcastle,4,0
Fulham,Tottenham,0,0
Aston Oroszlán,West Ham,3,2
Nottingham,Manchester Kék,0,4
Brighton,Chelsea,1,0
Wolverhampton,Aston Oroszlán,0,1
West Ham,London Ágyúk,0,1
Brentford,Nottingham,0,0
Manchester Kék,Crystal Palace,4,1
Tottenham,Everton,0,0
Vörös Ördögök,Newcastle,1,1
Liverpool,Fulham,1,0
Crystal Palace,Brentford,0,0
Nottingham,Tottenham,2,2
Chelsea,Manchester Kék,1,1
Aston Oroszlán,Vörös Ördögök,1,2
Fulham,West Ham,0,1
London Ágyúk,Wolverhampton,5,1
Newcastle,Brighton,3,0
Everton,Liverpool,3,2
Manchester Kék,Newcastle,3,2
Brentford,Chelsea,1,1
Aston Oroszlán,London Ágyúk,0,3
West Ham,Everton,1,1
Liverpool,Nottingham,2,0
Vörös Ördögök,Brighton,3,0
Wolverhampton,Fulham,1,0
Tottenham,Crystal Palace,1,1
Everton,Wolverhampton,3,1
Crystal Palace,Liverpool,1,3
Fulham,Aston Oroszlán,2,0
London Ágyúk,Vörös Ördögök,1,2
Brighton,Manchester Kék,1,3
Nottingham,West Ham,2,1
Newcastle,Brentford,0,0
Chelsea,Tottenham,3,1
Vörös Ördögök,Manchester Kék,1,2
Liverpool,Chelsea,1,2
Tottenham,Newcastle,1,0
London Ágyúk,Fulham,1,0
Aston Oroszlán,Everton,0,3
West Ham,Crystal Palace,1,2
Brentford,Brighton,1,0
Wolverhampton,Nottingham,2,0
Fulham,Vörös Ördögök,1,0
Nottingham,Aston Oroszlán,1,3
Brighton,Tottenham,1,4
Manchester Kék,Brentford,2,1
Crystal Palace,Wolverhampton,2,0
Everton,London Ágyúk,1,4
Chelsea,West Ham,4,0
Newcastle,Liverpool,2,1
Tottenham,Manchester Kék,2,4
London Ágyúk,Nottingham,2,1
Vörös Ördögök,Brentford,5,0
Liverpool,Brighton,0,1
Wolverhampton,Chelsea,1,2
Fulham,Everton,1,4
West Ham,Newcastle,1,1
Aston Oroszlán,Crystal Palace,0,0
Nottingham,Fulham,2,0
Crystal Palace,London Ágyúk,2,4
Everton,Vörös Ördögök,1,1
Chelsea,Aston Oroszlán,1,1
Manchester Kék,Liverpool,1,2
Newcastle,Wolverhampton,4,1
Brentford,Tottenham,0,0
Brighton,West Ham,2,0
Wolverhampton,Brighton,5,1
Liverpool,Brentford,0,1
West Ham,Manchester Kék,0,1
Everton,Nottingham,0,2
Aston Oroszlán,Newcastle,1,1
Vörös Ördögök,Tottenham,1,1
Fulham,Crystal Palace,1,0
London Ágyúk,Chelsea,4,2
Brighton,Aston Oroszlán,2,0
Nottingham,Vörös Ördögök,0,3
Crystal Palace,Everton,0,1
Tottenham,Liverpool,2,2
Chelsea,Fulham,3,2
Brentford,West Ham,1,1
Newcastle,London Ágyúk,0,2
Manchester Kék,Wolverhampton,3,3
Everton,Chelsea,1,3
Vörös Ördögök,Liverpool,2,2
London Ágyúk,Brighton,5,0
Wolverhampton,Brentford,1,1
Nottingham,Crystal Palace,2,0
West Ham,Tottenham,1,0
Aston Oroszlán,Manchester Kék,2,1
Fulham,Newcastle,3,0
Tottenham,Wolverhampton,5,1
Brighton,Fulham,2,4
Manchester Kék,London Ágyúk,1,3
Newcastle,Everton,2,1
Liverpool,West Ham,1,1
Crystal Palace,Vörös Ördögök,2,0
Chelsea,Nottingham,1,0
Brentford,Aston Oroszlán,1,0
Tottenham,Brighton,2,1
Newcastle,Wolverhampton,3,2
Fulham,Liverpool,1,3
Aston Oroszlán,West Ham,1,1
Everton,Vörös Ördögök,0,1
Nottingham,London Ágyúk,0,3
Manchester Kék,Brentford,1,1
Crystal Palace,Chelsea,0,0
West Ham,Crystal Palace,0,0
Liverpool,Tottenham,2,0
Wolverhampton,Everton,1,4
Nottingham,Manchester Kék,1,1
Brighton,Brentford,0,0
Chelsea,Fulham,0,0
London Ágyúk,Newcastle,2,1
Vörös Ördögök,Aston Oroszlán,1,1
Everton,London Ágyúk,1,0
Tottenham,Chelsea,0,2
Crystal Palace,Vörös Ördögök,0,1
Manchester Kék,Brighton,0,1
Newcastle,Nottingham,3,3
Fulham,West Ham,2,1
Brentford,Liverpool,1,2
Aston Oroszlán,Wolverhampton,2,2
Nottingham,Everton,0,3
Liverpool,Brighton,1,0
Chelsea,Brentford,2,1
Wolverhampton,Crystal Palace,0,1
London Ágyúk,Aston Oroszlán,1,2
Vörös Ördögök,Fulham,0,1
Newcastle,Manchester Kék,0,1
West Ham,Tottenham,0,2
Crystal Palace,London Ágyúk,1,3
Fulham,Wolverhampton,0,1
Aston Oroszlán,Nottingham,1,0
Manchester Kék,Liverpool,4,1
Brentford,West Ham,4,0
Brighton,Chelsea,0,4
Everton,Newcastle,4,0
Tottenham,Vörös Ördögök,1,2
Newcastle,Aston Oroszlán,1,2
Nottingham,Crystal Palace,0,1
Chelsea,Liverpool,0,1
Vörös Ördögök,Brentford,3,1
Wolverhampton,Tottenham,1,2
Everton,Manchester Kék,1,2
West Ham,Brighton,3,1
London Ágyúk,Fulham,4,0
Brighton,Vörös Ördögök,1,5
Tottenham,London Ágyúk,3,1
Liverpool,West Ham,5,0
Manchester Kék,Chelsea,0,0
Aston Oroszlán,Everton,1,1
Brentford,Wolverhampton,0,1
Crystal Palace,Newcastle,0,3
Fulham,Nottingham,0,2
Aston Oroszlán,Manchester Kék,0,2
Nottingham,Tottenham,0,3
Newcastle,Fulham,0,1
West Ham,Chelsea,1,2
Vörös Ördögök,Liverpool,1,1
London Ágyúk,Brentford,2,0
Everton,Crystal Palace,1,1
Wolverhampton,Brighton,3,0
Manchester Kék,West Ham,2,2
Liverpool,Wolverhampton,3,0
Fulham,Everton,2,1
Crystal Palace,Aston Oroszlán,1,0
Brighton,London Ágyúk,2,0
Chelsea,Vörös Ördögök,1,2
Brentford,Nottingham,0,0
Tottenham,Newcastle,1,1
Aston Oroszlán,Fulham,0,1
Wolverhampton,Chelsea,0,3
Crystal Palace,Manchester Kék,3,2
Everton,Tottenham,1,1
Nottingham,Brighton,3,2
Vörös Ördögök,West Ham,6,0
Newcastle,Brentford,3,1
London Ágyúk,Liverpool,2,1
West Ham,Wolverhampton,4,1
Chelsea,London Ágyúk,2,1
Manchester Kék,Vörös Ördögök,2,1
Liverpool,Nottingham,4,1
Tottenham,Aston Oroszlán,2,1
Brighton,Newcastle,1,2
Fulham,Crystal Palace,0,0
Brentford,Everton,1,0
Everton,Brighton,1,0
Crystal Palace,Tottenham,0,2
Aston Oroszlán,Brentford,0,1
Wolverhampton,Vörös Ördögök,2,2
Newcastle,Liverpool,1,3
Fulham,Manchester Kék,1,1
London Ágyúk,West Ham,2,0
Nottingham,Chelsea,0,0
Liverpool,Everton,0,1
Manchester Kék,Wolverhampton,1,0
Vörös Ördögök,London Ágyúk,4,1
Tottenham,Fulham,2,1
West Ham,Nottingham,1,4
Brentford,Crystal Palace,0,2
Chelsea,Newcastle,2,0
Brighton,Aston Oroszlán,2,1
Nottingham,Vörös Ördögök,2,2
Tottenham,Manchester Kék,0,1
Everton,Chelsea,2,1
Crystal Palace,Brighton,0,2
London Ágyúk,Wolverhampton,1,1
Fulham,Brentford,1,1
Aston Oroszlán,Liverpool,0,2
Newcastle,West Ham,0,1
Brighton,Fulham,2,0
West Ham,Everton,1,1
Chelsea,Aston Oroszlán,1,2
Vörös Ördögök,Newcastle,2,0
Brentford,Tottenham,1,0
Manchester Kék,London Ágyúk,3,1
Wolverhampton,Nottingham,2,0
Liverpool,Crystal Palace,0,0
Brighton,Tottenham,0,1
Wolverhampton,Newcastle,6,1
Liverpool,Fulham,0,0
West Ham,Aston Oroszlán,0,1
Vörös Ördögök,Everton,3,0
London Ágyúk,Nottingham,2,0
Brentford,Manchester Kék,0,2
Chelsea,Crystal Palace,4,1
Crystal Palace,West Ham,0,2
Tottenham,Liverpool,1,0
Everton,Wolverhampton,2,3
Manchester Kék,Nottingham,1,0
Brentford,Brighton,2,1
Fulham,Chelsea,2,2
Newcastle,London Ágyúk,1,3
Aston Oroszlán,Vörös Ördögök,0,3
London Ágyúk,Everton,2,0
Chelsea,Tottenham,1,0
Vörös Ördögök,Crystal Palace,0,2
Brighton,Manchester Kék,1,2
Nottingham,Newcastle,1,2
West Ham,Fulham,1,3
Liverpool,Brentford,2,1
Wolverhampton,Aston Oroszlán,1,1
Everton,Nottingham,0,0
Brighton,Liverpool,1,1
Brentford,Chelsea,0,1
Crystal Palace,Wolverhampton,1,1
Aston Oroszlán,London Ágyúk,2,3
Fulham,Vörös Ördögök,0,4
Manchester Kék,Newcastle,2,2
Tottenham,West Ham,1,1
London Ágyúk,Crystal Palace,1,0
Wolverhampton,Fulham,0,1
Nottingham,Aston Oroszlán,3,1
Liverpool,Manchester Kék,1,1
West Ham,Brentford,2,0
Chelsea,Brighton,3,1
Newcastle,Everton,2,0
Vörös Ördögök,Tottenham,3,0
Aston Oroszlán,Newcastle,1,3
Crystal Palace,Nottingham,1,1
Liverpool,Chelsea,1,1
Brentford,Vörös Ördögök,1,5
Tottenham,Wolverhampton,4,0
Manchester Kék,Everton,0,1
Brighton,West Ham,1,0
Fulham,London Ágyúk,1,2
Vörös Ördögök,Brighton,2,2
London Ágyúk,Tottenham,2,0
West Ham,Liverpool,1,2
Chelsea,Manchester Kék,1,2
Everton,Aston Oroszlán,3,2
Wolverhampton,Brentford,0,2
Newcastle,Crystal Palace,0,0
Nottingham,Fulham,2,0
Manchester Kék,Aston Oroszlán,0,0
Tottenham,Nottingham,1,1
Fulham,Newcastle,2,3
Chelsea,West Ham,2,1
Liverpool,Vörös Ördögök,2,3
Brentford,London Ágyúk,0,1
Crystal Palace,Everton,1,0
Brighton,Wolverhampton,2,1
West Ham,Manchester Kék,2,1
Wolverhampton,Liverpool,3,0
Everton,Fulham,4,0
Aston Oroszlán,Crystal Palace,3,2
London Ágyúk,Brighton,2,3
Vörös Ördögök,Chelsea,0,3
Nottingham,Brentford,0,0
Newcastle,Tottenham,1,1
Fulham,Aston Oroszlán,2,2
Chelsea,Wolverhampton,1,0
Manchester Kék,Crystal Palace,0,3
Tottenham,Everton,2,0
Brighton,Nottingham,0,1
West Ham,Vörös Ördögök,0,3
Brentford,Newcastle,0,3
Liverpool,London Ágyúk,4,1
Wolverhampton,West Ham,1,0
London Ágyúk,Chelsea,2,4
Vörös Ördögök,Manchester Kék,0,0
Nottingham,Liverpool,1,5
Aston Oroszlán,Tottenham,1,3
Newcastle,Brighton,0,0
Crystal Palace,Fulham,0,1
Everton,Brentford,2,0
Brighton,Everton,1,0
Tottenham,Crystal Palace,1,2
Brentford,Aston Oroszlán,0,0
Vörös Ördögök,Wolverhampton,4,0
Liverpool,Newcastle,2,1
Manchester Kék,Fulham,3,1
West Ham,London Ágyúk,3,1
Chelsea,Nottingham,3,0
Everton,Liverpool,0,1
Wolverhampton,Manchester Kék,0,1
London Ágyúk,Vörös Ördögök,4,2
Fulham,Tottenham,1,1
Nottingham,West Ham,1,1
Crystal Palace,Brentford,1,1
Newcastle,Chelsea,0,1
Aston Oroszlán,Brighton,2,1
Vörös Ördögök,Nottingham,1,0
Manchester Kék,Tottenham,3,1
Chelsea,Everton,1,1
Brighton,Crystal Palace,1,0
Wolverhampton,London Ágyúk,1,1
Brentford,Fulham,0,0
Liverpool,Aston Oroszlán,2,0
West Ham,Newcastle,2,2
Fulham,Brighton,0,1
Everton,West Ham,3,0
Aston Oroszlán,Chelsea,1,3
Newcastle,Vörös Ördögök,1,2
Tottenham,Brentford,3,1
London Ágyúk,Manchester Kék,1,1
Nottingham,Wolverhampton,3,0
Crystal Palace,Liverpool,0,1
Liverpool,West Ham,2,2
Brighton,Tottenham,1,0
Nottingham,Crystal Palace,1,3
Fulham,Aston Oroszlán,3,0
London Ágyúk,Manchester Kék,2,1
Wolverhampton,Newcastle,1,1
Chelsea,Everton,1,0
Brentford,Vörös Ördögök,2,0
Aston Oroszlán,Brentford,0,0
Crystal Palace,Liverpool,1,0
Tottenham,London Ágyúk,2,1
Wolverhampton,Chelsea,1,0
West Ham,Everton,0,1
Vörös Ördögök,Nottingham,3,1
Newcastle,Brighton,0,0
Manchester Kék,Fulham,4,1
London Ágyúk,Newcastle,4,1
Liverpool,Vörös Ördögök,1,4
Brentford,Manchester Kék,0,2
Chelsea,West Ham,1,0
Brighton,Wolverhampton,0,2
Nottingham,Aston Oroszlán,1,0
Everton,Crystal Palace,1,0
Fulham,Tottenham,2,0
Wolverhampton,London Ágyúk,2,2
Crystal Palace,West Ham,2,2
Vörös Ördögök,Everton,1,1
Tottenham,Brentford,0,4
Newcastle,Fulham,1,2
Manchester Kék,Nottingham,1,1
Brighton,Chelsea,2,0
Aston Oroszlán,Liverpool,0,0
Brentford,Newcastle,0,3
Nottingham,Tottenham,1,4
Fulham,Wolverhampton,3,0
Chelsea,Crystal Palace,0,1
Everton,Aston Oroszlán,0,1
West Ham,Vörös Ördögök,1,1
London Ágyúk,Brighton,3,2
Liverpool,Manchester Kék,2,2
Brighton,Fulham,0,1
Wolverhampton,Brentford,0,2
Vörös Ördögök,Crystal Palace,0,1
Manchester Kék,Everton,2,0
Tottenham,Liverpool,2,1
London Ágyúk,Chelsea,2,2
Aston Oroszlán,West Ham,3,0
Newcastle,Nottingham,2,0
West Ham,Manchester Kék,1,2
Liverpool,Newcastle,1,3
Crystal Palace,Aston Oroszlán,0,1
Chelsea,Vörös Ördögök,0,0
Fulham,London Ágyúk,1,3
Everton,Tottenham,1,1
Brentford,Brighton,2,1
Nottingham,Wolverhampton,1,2
Fulham,Chelsea,1,1
Wolverhampton,Liverpool,1,4
Brighton,Nottingham,1,0
Aston Oroszlán,Vörös Ördögök,0,1
Manchester Kék,Crystal Palace,2,1
Newcastle,Everton,0,2
London Ágyúk,Brentford,1,0
Tottenham,West Ham,0,0
Chelsea,Aston Oroszlán,1,1
Crystal Palace,Tottenham,1,3
Nottingham,London Ágyúk,0,2
Brentford,Fulham,4,1
West Ham,Newcastle,2,4
Vörös Ördögök,Manchester Kék,4,0
Everton,Wolverhampton,1,0
Liverpool,Brighton,3,1
Fulham,Nottingham,1,1
Tottenham,Vörös Ördögök,2,2
Brentford,Chelsea,0,1
London Ágyúk,Liverpool,0,2
Wolverhampton,West Ham,2,1
Manchester Kék,Aston Oroszlán,3,1
Brighton,Everton,1,1
Newcastle,Crystal Palace,2,0
Aston Oroszlán,Tottenham,0,3
Vörös Ördögök,Newcastle,0,0
Chelsea,Manchester Kék,2,1
Crystal Palace,Wolverhampton,0,1
Liverpool,Fulham,1,0
West Ham,Brighton,1,0
Nottingham,Brentford,3,0
Everton,London Ágyúk,0,0
London Ágyúk,West Ham,5,0
Brentford,Liverpool,0,3
Fulham,Everton,1,0
Tottenham,Manchester Kék,5,1
Brighton,Crystal Palace,3,2
Nottingham,Chelsea,0,1
Newcastle,Aston Oroszlán,1,1
Wolverhampton,Vörös Ördögök,0,4
Crystal Palace,London Ágyúk,1,0
Chelsea,Tottenham,3,0
Manchester Kék,Newcastle,4,0
Liverpool,Nottingham,4,1
Aston Oroszlán,Wolverhampton,0,1
Everton,Brentford,1,0
Vörös Ördögök,Brighton,1,0
West Ham,Fulham,0,1
Wolverhampton,Manchester Kék,0,2
Liverpool,Chelsea,4,2
London Ágyúk,Vörös Ördögök,2,0
Brentford,West Ham,2,0
Newcastle,Tottenham,2,2
Nottingham,Everton,0,2
Fulham,Crystal Palace,0,0
Brighton,Aston Oroszlán,0,0
West Ham,Nottingham,0,1
Aston Oroszlán,London Ágyúk,0,1
Vörös Ördögök,Fulham,2,3
Manchester Kék,Brighton,3,0
Everton,Liverpool,0,1
Chelsea,Newcastle,4,1
Tottenham,Wolverhampton,4,1
Crystal Palace,Brentford,0,1
West Ham,Liverpool,0,3
Tottenham,Brighton,4,1
Crystal Palace,Nottingham,2,0
Aston Oroszlán,Fulham,0,1
Manchester Kék,London Ágyúk,4,1
Newcastle,Wolverhampton,1,1
Everton,Chelsea,1,0
Vörös Ördögök,Brentford,0,0
Brentford,Aston Oroszlán,1,0
Liverpool,Crystal Palace,5,1
London Ágyúk,Tottenham,2,4
Chelsea,Wolverhampton,3,2
Everton,West Ham,6,0
Nottingham,Vörös Ördögök,1,3
Brighton,Newcastle,3,3
Fulham,Manchester Kék,1,3
Newcastle,London Ágyúk,0,0
Vörös Ördögök,Liverpool,0,3
Manchester Kék,Brentford,0,0
West Ham,Chelsea,1,3
Wolverhampton,Brighton,3,2
Aston Oroszlán,Nottingham,1,0
Crystal Palace,Everton,1,3
Tottenham,Fulham,2,1
London Ágyúk,Wolverhampton,3,4
West Ham,Crystal Palace,1,0
Everton,Vörös Ördögök,2,1
